MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
OAS30015_MR_d2004,1413320.5489706993,630217.8352187339,503309.1750181842,3618.214185645673,3255.9880451364024
OAS30016_MR_d0021,1613658.2474336028,591889.6091944621,483710.02815326833,2966.931839096914,2999.720512348583
OAS30017_MR_d0054,1286147.923339605,695203.5613319775,491129.5745124201,4082.702768266172,3698.0036512127695
OAS30018_MR_d0070,1446730.928951025,622126.0794974625,449392.9032070769,3454.564682755274,3174.8388443519148
OAS30018_MR_d0893,1434564.6318912506,611866.3066042273,450037.0286205027,3484.8727768537665,3194.798984501236
OAS30019_MR_d0376,1381317.1079878807,623370.1240691915,497310.3307980882,4071.587735263073,3645.070026916166
OAS30020_MR_d0092,1368687.5,682425.855061875,488653.9659345176,3833.0974017078406,3664.623955431755
OAS30020_MR_d0911,1371755.0,677515.7371396496,490398.03937292006,3700.733731606592,3566.5169800729723
OAS30021_MR_d0071,1389057.22307539,650354.0409796523,491279.33124097873,4089.585571595231,3645.722621452334
OAS30022_MR_d1324,1640861.25,534082.8406423761,421393.2774632834,2213.5936234706014,2079.601489766426
OAS30024_MR_d0084,1240784.1003978252,587810.1739041564,474486.7487507195,3156.804208555891,3382.949539285772
OAS30025_MR_d0210,1286071.8397378922,659316.4291212765,520724.0585660189,4154.112917648339,3893.924902999059
OAS30025_MR_d2298,1266155.4779105186,647605.2826337684,509365.0043962208,3844.321073816447,3598.5860404705327
OAS30026_MR_d0048,1506236.5386719704,596585.8803002982,520993.8349634453,3559.24967933312,3159.5579975515125
OAS30026_MR_d0129,1478961.7259354591,591493.6465058264,519258.81767877017,3443.441311295492,3082.060663933146
OAS30026_MR_d0696,1480539.413134575,593867.1845416481,507287.0167011075,3517.1501007980905,3193.5413488551576
OAS30027_MR_d0433,1615234.6957092285,621946.4881825026,523014.44003090577,2812.6671586496554,2946.350740946192
