MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
691_20141022,1552102.4527893066,634213.1183789977,460844.8750678432,3618.6101674472834,3416.286409230708
691_20160511,1554611.3250848055,631976.1344768736,460814.4366422773,3646.9989787797695,3399.744810726904
692_20130206,1250752.849700451,657858.6655972308,482283.0698440171,3553.411993161238,3269.4134284568463
692_20141022,1248929.592062831,651283.6733536965,488277.26752570935,3488.5387851890573,3283.8155559676434
692_20160511,1252218.781094313,648927.3814326687,482950.68331159593,3498.5304560234044,3297.087456792915
693_20131012,1492354.0,618661.7518363605,542670.2980660085,3694.8874060712137,3142.954017612443
693_20140921,1493528.6171851158,614900.2297908581,537849.440119127,3713.037283432829,3065.79303289116
693_20160329,1515033.1872724297,603845.7156737075,529245.7529005948,3586.718185862495,2966.593488991005
695_20120913,1500426.557840705,597460.4369132593,517596.17621447775,4037.386147675919,3441.1400169070307
696_20080630,1585626.0630071163,635392.260217731,474910.5804269103,3594.060642295219,3383.027271248075
696_20100324,1589007.663141489,631383.4672659842,475039.2282579391,3633.928497258289,3344.51012065644
696_20110902,1589970.0631797314,627387.9129794902,469652.15947470703,3566.972961753996,3353.278363742712
696_20130228,1588730.463130474,628465.0082858615,469418.0636311863,3569.756076927841,3344.0135595063834
696_20140909,1590016.863181591,621885.8593192223,471563.6891383789,3597.0865213499637,3356.4173661561317
696_20160203,1591582.6119003296,617629.1356974723,471379.30722496414,3615.1134192554114,3353.11742734397
697_20080509,1758922.8698933125,639412.199330181,495331.1401728376,3133.6179166021384,3006.7902923311926
697_20090916,1758693.6698842049,632494.7085723175,489719.905730026,3152.565063067268,3020.842288844401
697_20110706,1757312.469829321,633885.3216992038,490706.3308720748,3158.9488584955075,2955.838700051283
697_20121121,1753015.1145362854,628696.0697404584,494220.6941872684,3199.9767257991093,2967.980860392444
697_20140520,1757095.2698206902,629821.8673638173,490585.3388023597,3145.666780035595,2913.2331589090904
697_20151124,1754999.886024356,617557.710755968,489704.2753241177,3035.0035452773286,2876.6045200405606
698_20071126,1435921.257058382,597205.5513909817,503611.49622973736,3495.526077614844,3175.252235289792
698_20090601,1434405.6569981575,597202.5151045144,508598.68924103474,3544.6794128522647,3131.9509628239043
698_20101117,1436973.657100201,586470.791112655,507355.4086171102,3478.635933186246,3047.538242873772
698_20120516,1433952.056980133,581417.9721496954,513898.1723237598,3447.6718885987816,3097.0409051349
698_20131120,1442436.0213298798,580964.2671742516,497037.8741996885,3442.85343485032,3006.25108150199
698_20150707,1441153.421280861,577482.5057204047,497245.3129319446,3460.203636412083,3107.753438071416
699_20080313,1457908.8579320908,639064.0155268972,484437.8002245408,4406.794169841077,3409.85115118312
699_20090827,1459746.0580050943,634656.6539658271,478264.2350107485,4484.711723820446,3378.522016844028
699_20111119,1462711.258122921,621742.8539550392,452394.2962903408,4299.645753720898,3274.3004907598984
702_20080131,1583448.0629205704,541735.2031768647,475746.957272989,2884.838655895236,2706.0263425133003
702_20090813,1583004.0629029274,527442.6495447895,470719.39931926894,2770.7422091163385,2698.1132075471696
703_20130312,1541275.978088379,614758.1188569096,478824.74654192536,3588.8363977242143,3270.300622778278
703_20180917,1530457.8382110596,604221.7462553546,458712.23011241126,3525.357214731334,3245.047868211482
704_20110929,1300209.0,653600.7211148362,523512.535292403,4139.734458075586,3634.915617412277
707_20071116,1400148.0556368828,679725.2204766924,473939.74065598776,4200.078848807412,3719.6496370383697
707_20090626,1402384.8557257652,677887.3045400949,472777.56290570175,4162.788986303902,3700.256876714579
707_20110817,1403050.8557522297,674839.3486536625,466348.6168854328,4121.675423298999,3661.808966574838
707_20130219,1399597.255614996,671203.046133559,467831.6275568428,4074.2207829509807,3662.2622565978263
707_20140129,1401405.2380354404,668573.6549076156,468813.6368229155,4056.7184832142816,3678.3526482268944
707_20151012,1398600.3590756657,660479.2600632343,464807.5126232834,4034.1654475956766,3663.6307866547113
708_20120712,1652751.0,639051.9261522153,545487.4569732525,3197.003057326845,3132.976473770096
709_20130204,1224099.648641348,699186.4681599439,478587.6639449928,4478.900246352503,4090.588706997372
709_20140813,1230428.3936126232,703252.9448366126,480157.9161928466,4391.722273478233,3995.644431094042
709_20160225,1229965.5151057243,699828.999873167,475546.8160043708,4337.561099349249,4022.2543098822407
710_20110929,1422797.0,615166.633047441,520523.9117034967,3536.8151605605017,3218.210327966674
710_20130921,1414814.0955848694,600245.7156670244,523166.738054546,3413.266553859681,3126.216597893987
711_20110811,1500453.0,653217.3950133726,567994.1590972859,4479.313913864679,3759.764551105566
716_20080123,1465671.6582405567,674107.0810132365,495189.8037732327,4087.2430085975607,3764.103773314567
716_20090716,1462604.4581186771,674270.0541581853,493548.554892902,3979.662579984034,3718.027923340037
716_20110115,1456804.8578882215,662322.2246384692,475014.0444347796,3944.855206407887,3666.866007031279
721_20080123,1662507.6660621166,565463.0246502332,514685.13948447513,2541.216653686274,2604.179373375496
721_20090814,1656940.865840912,557009.4743276283,515778.4345705048,2448.2612776509573,2464.831573946396
721_20110115,1653442.8657019138,544718.8593400388,490152.6342489743,2337.203319038312,2309.18178723812
721_20121013,1621467.6644313335,533453.3085952504,464548.42020895146,2259.471604613006,2205.4982782264665
721_20140810,1625507.349030614,519396.3482650457,453845.5280531586,2109.230179781469,2105.007496738863
722_20080213,1661834.466035366,569465.1885891879,473633.25010001,3038.92373391717,2892.2954056072017
722_20090723,1648116.0654902458,559652.5414473254,475774.36782362405,2871.598843770705,2763.3152035414982
722_20110219,1646168.4654128551,562398.4715051025,452787.93591226754,2988.6201193024967,2747.8209398260838
722_20130601,1633875.6649243832,572117.419465717,424956.5903303777,2861.9681939065617,2663.468381558547
722_20150816,1622563.2826988697,554102.3545586524,416488.92905558064,2787.7820615127243,2592.129678591688
725_20120419,1403130.0,641963.6313099999,531451.0772344687,4114.308724066907,4026.6618203587695
